Problem Name	Level (Assignment)	Level (ProblemSet)	BRD	SWF	Package
x 3=5	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+3eq5.brd		Dashboard
x 2=6	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+2eq6.brd		Dashboard
x 6=3	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+6eq3.brd		Dashboard
x 7=2	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+7eq2.brd		Dashboard
6=3 x	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\6eq3+x.brd		Dashboard
9=4 x	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\9eq4+x.brd		Dashboard
x 2=0	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+2eq0.brd		Dashboard
x 6=0	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+6eq0.brd		Dashboard
x 3=0	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+3eq0.brd		Dashboard
x 3=3	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+3eq3.brd		Dashboard
x 7=7	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\x+7eq7.brd		Dashboard
10=5 x	Lynnette Tutor	ProblemSetDashboard_1	FinalBRDs\10eq5+x.brd		Dashboard
-x 7=18	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\-x+7eq18.brd		Dashboard
-x 6=15	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\-x+6eq15.brd		Dashboard
3=7-x	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\3eq7-x.brd		Dashboard
1=9-x	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\1eq9-x.brd		Dashboard
-x 3=11	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\-x+3eq11.brd		Dashboard
6-x=3	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\6-xeq3.brd		Dashboard
7-x=2	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\7-xeq2.brd		Dashboard
8-x=1	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\8-xeq1.brd		Dashboard
10=-x 5	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\10eq-x+5.brd		Dashboard
13=-x 6	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\13eq-x+6.brd		Dashboard
8=-x 2	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\8eq-x+2.brd		Dashboard
5=6-x	Lynnette Tutor	ProblemSetDashboard_2	FinalBRDs\5eq6-x.brd		Dashboard
2x=6	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\2xeq6.brd		Dashboard
6x=12	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\6xeq12.brd		Dashboard
18=3x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\18eq3x.brd		Dashboard
20=4x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\20eq4x.brd		Dashboard
6=2x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\6eq2x.brd		Dashboard
16=8x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\16eq8x.brd		Dashboard
3x=9	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\3xeq9.brd		Dashboard
6x=18	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\6xeq18.brd		Dashboard
5x=15	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\5xeq15.brd		Dashboard
7x=14	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\7xeq14.brd		Dashboard
16=2x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\16eq2x.brd		Dashboard
10=2x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\10eq2x.brd		Dashboard
2x 3=7	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\2x+3eq7.brd		Dashboard
3x 1=10	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\3x+1eq10.brd		Dashboard
3x-1=-10	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\3x-1eq-10.brd		Dashboard
7=-1 2x	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\7eq-1+2x.brd		Dashboard
2x 4=0	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\2x+4eq0.brd		Dashboard
5x 10=0	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\5x+10eq0.brd		Dashboard
4x 5=1	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\4x+5eq1.brd		Dashboard
7x 15=1	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\7x+15eq1.brd		Dashboard
11=2x 5	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\11eq2x+5.brd		Dashboard
15=4x 3	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\15eq4x+3.brd		Dashboard
4x 1=9	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\4x+1eq9.brd		Dashboard
2x-5=5	Lynnette Tutor	ProblemSetDashboard_3	FinalBRDs\2x-5eq5.brd		Dashboard
2x 3=7	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\2x+3eq7.brd		Dashboard
3x 1=10	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\3x+1eq10.brd		Dashboard
